,,nmi,ami,ari,fms,v_measure,bcubed_precision,bcubed_recall,bcubed_fscore,Silhouette,Calinski_harabasz,Davies_Bouldin
problem001,BL_Random,0.3653,-0.0132,-0.0139,0.1179,0.4688,0.7,0.2944,0.4145,-0.3265,1.2036,1.641
problem001,BL_Singleton,0.4355,-0.0,0.0,0.0,0.6068,1.0,0.25,0.4,,,
problem001,Ground_Truth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.661,0.7877,2.8206
problem001,SPKMeans,0.2809,-0.0154,-0.010740000000000003,0.2428,0.30304000000000003,0.46563999999999994,0.40888,0.43412000000000006,-0.57126,1.5500999999999998,2.36312
problem001,COP_KMeans,0.3828,0.1235,0.1244,0.3177,0.4387,0.5738,0.4278,0.4901,-0.5202,0.7265,4.2775
problem002,BL_Random,0.5569,0.0986,0.0579,0.1581,0.6364,0.7,0.4333,0.5353,-0.116,1.3761,1.1081
problem002,BL_Singleton,0.585,-0.0,0.0,0.0,0.7381,1.0,0.35,0.5185,,,
problem002,Ground_Truth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5717,1.3677,2.1513
problem002,SPKMeans,0.037,-0.082,-0.049,0.309,0.0624,0.21669999999999998,0.8367000000000001,0.3442,-0.6089,0.2603,1.9282999999999997
problem002,COP_KMeans,0.3793,-0.0517,-0.0457,0.1598,0.4044,0.4256,0.4933,0.4569,-0.5897,0.526,1.9014
problem003,BL_Random,0.3835,-0.0371,-0.0261,0.1109,0.4865,0.7,0.3273,0.446,-0.4065,1.1954,1.6613
problem003,BL_Singleton,0.4497,-0.0,0.0,0.0,0.6204,1.0,0.3,0.4615,,,
problem003,Ground_Truth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.5005,1.3237,5.5992
problem003,SPKMeans,0.37686000000000003,0.10329999999999999,0.035500000000000004,0.34716,0.4098,0.5652,0.5399800000000001,0.5445800000000001,-0.4941,0.5410999999999999,15.067699999999999
problem003,COP_KMeans,0.4243,0.3214,0.3982,0.6078,0.4877,0.5623,0.7364,0.6376,-0.2676,0.1896,10.6467
problem004,BL_Random,0.5311,-0.0464,-0.0342,0.0577,0.5956,0.6333,0.37,0.4671,-0.5946,0.438,6.8734
problem004,BL_Singleton,0.6112,-0.0,0.0,0.0,0.7587,1.0,0.35,0.5185,,,
problem004,Ground_Truth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.2628,2.3784,3.7494
problem004,SPKMeans,0.5015799999999999,0.09458,0.04866,0.21458,0.5332600000000001,0.54166,0.555,0.53738,-0.47872000000000003,0.72008,3.03536
problem004,COP_KMeans,0.6172,0.1893,0.1376,0.2357,0.6806,0.75,0.5,0.6,-0.4395,1.0692,2.6277
problem005,BL_Random,0.6144,-0.1164,-0.0839,0.0,0.6479,0.6,0.5,0.5455,-0.1445,0.8372,1.2648
problem005,BL_Singleton,0.6992,-0.0,0.0,0.0,0.823,1.0,0.5,0.6667,,,
problem005,Ground_Truth,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.3713,0.2231,2.8333
problem005,SPKMeans,0.14,-0.0794,-0.025,0.23610000000000003,0.21870000000000003,0.2706,0.8,0.4044,-0.7512,0.0885,2.0566
problem005,COP_KMeans,0.4888,0.2953,0.2244,0.3818,0.6,0.4679,0.8,0.5904,-0.6614,0.1399,6.0852
